kommunenummer,navn,år,befolkning,latitude,longitude,fylke_navn_2019,fylke_navn_2020
0534,Gran,2019,13642,60.4295849777501,10.51453044006971,OPPLAND,INNLANDET
0536,Søndre Land,2019,5623,60.676603851840845,10.27133624704928,OPPLAND,VIKEN
0536,Søndre Land,2019,5623,60.676603851840845,10.27133624704928,OPPLAND,INNLANDET
0538,Nordre Land,2019,6671,60.945979066868624,9.969524458726495,OPPLAND,VIKEN
0538,Nordre Land,2019,6671,60.945979066868624,9.969524458726495,OPPLAND,INNLANDET
0540,Sør-Aurdal,2019,2981,60.67951967377233,9.630754349861611,OPPLAND,VIKEN
0540,Sør-Aurdal,2019,2981,60.67951967377233,9.630754349861611,OPPLAND,INNLANDET
0541,Etnedal,2019,1305,60.97455032390533,9.640902458370505,OPPLAND,VIKEN
0541,Etnedal,2019,1305,60.97455032390533,9.640902458370505,OPPLAND,INNLANDET
0542,Nord-Aurdal,2019,6418,60.96649917042831,9.282677488036697,OPPLAND,VIKEN
0542,Nord-Aurdal,2019,6418,60.96649917042831,9.282677488036697,OPPLAND,INNLANDET
0543,Vestre Slidre,2019,2135,61.03447626467378,8.88511872325645,OPPLAND,VIKEN
0543,Vestre Slidre,2019,2135,61.03447626467378,8.88511872325645,OPPLAND,INNLANDET
0544,Øystre Slidre,2019,3208,61.24489323791927,9.097264273838398,OPPLAND,VIKEN
0544,Øystre Slidre,2019,3208,61.24489323791927,9.097264273838398,OPPLAND,INNLANDET
0545,Vang,2019,1610,61.21812700335903,8.474946080838784,OPPLAND,VIKEN
0545,Vang,2019,1610,61.21812700335903,8.474946080838784,OPPLAND,INNLANDET
0602,Drammen,2019,68933,59.71133061382891,10.158622650772225,BUSKERUD,VIKEN
0604,Kongsberg,2019,27481,59.57841576475209,9.667437233332896,BUSKERUD,VIKEN
0605,Ringerike,2019,30442,60.295827900450426,10.085738153463826,BUSKERUD,VIKEN
0612,Hole,2019,6845,60.04471553198264,10.293812913691308,BUSKERUD,VIKEN
0615,Flå,2019,1052,60.41622624325976,9.50225451565912,BUSKERUD,VIKEN
0616,Nes,2019,3315,60.55169885097997,9.071767652622846,BUSKERUD,VIKEN
0617,Gol,2019,4576,60.74733456805048,8.999206090356592,BUSKERUD,VIKEN
0618,Hemsedal,2019,2481,60.910968911744106,8.466754168012338,BUSKERUD,VIKEN
0619,Ål,2019,4671,60.71208309199994,8.385990151107823,BUSKERUD,VIKEN
0620,Hol,2019,4473,60.569932603172006,8.01115769673591,BUSKERUD,VIKEN
0621,Sigdal,2019,3490,60.13669850906794,9.45464868897721,BUSKERUD,VIKEN
0622,Krødsherad,2019,2239,60.197489382194604,9.667392389603691,BUSKERUD,VIKEN
0623,Modum,2019,13980,59.984960941805724,9.961475846099505,BUSKERUD,VIKEN
0624,Øvre Eiker,2019,19117,59.753491166302034,9.848386083156116,BUSKERUD,VIKEN
0625,Nedre Eiker,2019,24963,59.7621018142394,10.038979826521182,BUSKERUD,VIKEN
0626,Lier,2019,26373,59.862640372282044,10.233179477583256,BUSKERUD,VIKEN
0627,Røyken,2019,22635,59.736717570081915,10.421931596854064,BUSKERUD,VIKEN
0628,Hurum,2019,9521,59.60319460264921,10.513759298482212,BUSKERUD,VIKEN
